mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_max_features,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.10213303565979004,0.016391320659926926,0.005620622634887695,0.0013657529113801372,entropy,7,10,50,"{'criterion': 'entropy', 'max_depth': 7, 'max_features': 10, 'n_estimators': 50}",0.6875,0.7421875,0.671875,0.703125,0.703125,0.7015625,0.023385358667337132,274
0.13454909324645997,0.015002555987891329,0.007784223556518555,0.002781986879567857,entropy,7,10,100,"{'criterion': 'entropy', 'max_depth': 7, 'max_features': 10, 'n_estimators': 100}",0.8046875,0.703125,0.71875,0.7578125,0.65625,0.728125,0.05024354747129227,205
0.24569787979125976,0.028669912086190512,0.011394548416137695,0.0046561617818773465,entropy,7,10,200,"{'criterion': 'entropy', 'max_depth': 7, 'max_features': 10, 'n_estimators': 200}",0.75,0.765625,0.734375,0.7578125,0.78125,0.7578125,0.015625,94
0.0820202350616455,0.015314910538973013,0.005593538284301758,0.002742531006722796,entropy,7,15,50,"{'criterion': 'entropy', 'max_depth': 7, 'max_features': 15, 'n_estimators': 50}",0.7265625,0.6171875,0.6875,0.7109375,0.703125,0.6890625,0.03808143002173107,288
0.12780399322509767,0.011341025914311718,0.007374429702758789,0.0017382650934664634,entropy,7,15,100,"{'criterion': 'entropy', 'max_depth': 7, 'max_features': 15, 'n_estimators': 100}",0.7421875,0.7890625,0.703125,0.7421875,0.7890625,0.753125,0.03262595784034547,107
0.27369089126586915,0.016048481527921866,0.009368181228637695,0.001953687746264731,entropy,7,15,200,"{'criterion': 'entropy', 'max_depth': 7, 'max_features': 15, 'n_estimators': 200}",0.8203125,0.7734375,0.7265625,0.7578125,0.8125,0.778125,0.03479852726768764,45
0.09921517372131347,0.012686192774223864,0.004384660720825195,0.0004872361328794238,entropy,7,25,50,"{'criterion': 'entropy', 'max_depth': 7, 'max_features': 25, 'n_estimators': 50}",0.7578125,0.71875,0.796875,0.6953125,0.7578125,0.7453125,0.03514756837250623,138
0.176438045501709,0.02921351471680172,0.007374238967895508,0.0029300840435092287,entropy,7,25,100,"{'criterion': 'entropy', 'max_depth': 7, 'max_features': 25, 'n_estimators': 100}",0.7890625,0.75,0.7421875,0.7265625,0.796875,0.7609375,0.027332587007087343,84
0.3139672756195068,0.01784495720417646,0.010964441299438476,0.005979275939910326,entropy,7,25,200,"{'criterion': 'entropy', 'max_depth': 7, 'max_features': 25, 'n_estimators': 200}",0.8203125,0.7734375,0.7890625,0.796875,0.7890625,0.79375,0.01530931089239486,16
0.11196136474609375,0.011975073658672937,0.004384040832519531,0.0004857124945779013,entropy,7,50,50,"{'criterion': 'entropy', 'max_depth': 7, 'max_features': 50, 'n_estimators': 50}",0.7734375,0.71875,0.6953125,0.703125,0.7734375,0.7328125,0.03401803290168319,187
0.23380422592163086,0.02563714580425883,0.007177305221557617,0.003419916250585697,entropy,7,50,100,"{'criterion': 'entropy', 'max_depth': 7, 'max_features': 50, 'n_estimators': 100}",0.7890625,0.75,0.703125,0.7265625,0.796875,0.753125,0.03583545294118661,107
0.42791500091552737,0.05065825699416913,0.014394903182983398,0.005480721604855505,entropy,7,50,200,"{'criterion': 'entropy', 'max_depth': 7, 'max_features': 50, 'n_estimators': 200}",0.828125,0.8125,0.7734375,0.78125,0.8203125,0.803125,0.021763106683100185,5
0.15604982376098633,0.023510462335973144,0.008577394485473632,0.004114671997141038,entropy,7,100,50,"{'criterion': 'entropy', 'max_depth': 7, 'max_features': 100, 'n_estimators': 50}",0.796875,0.7421875,0.734375,0.7265625,0.8046875,0.7609375,0.03299798762803574,84
0.30559258460998534,0.025240595361973713,0.0071770668029785155,0.0021301030054580515,entropy,7,100,100,"{'criterion': 'entropy', 'max_depth': 7, 'max_features': 100, 'n_estimators': 100}",0.828125,0.7421875,0.765625,0.734375,0.78125,0.7703125,0.03336586953759785,62
0.5711922645568848,0.020900096310396764,0.008571004867553711,0.0010165037741798073,entropy,7,100,200,"{'criterion': 'entropy', 'max_depth': 7, 'max_features': 100, 'n_estimators': 200}",0.8515625,0.7734375,0.765625,0.8125,0.7890625,0.7984375,0.031014739439498763,10
0.28241677284240724,0.02491699364052013,0.005800676345825195,0.0012979113235064876,entropy,7,250,50,"{'criterion': 'entropy', 'max_depth': 7, 'max_features': 250, 'n_estimators': 50}",0.8046875,0.796875,0.765625,0.796875,0.75,0.7828125,0.021194781197266463,38
0.5210525989532471,0.03076444518503803,0.006579208374023438,0.0016206285435591242,entropy,7,250,100,"{'criterion': 'entropy', 'max_depth': 7, 'max_features': 250, 'n_estimators': 100}",0.8203125,0.765625,0.7421875,0.765625,0.7421875,0.7671875,0.028555729503901665,68
1.033726406097412,0.05877397117869769,0.010576677322387696,0.002650938913364877,entropy,7,250,200,"{'criterion': 'entropy', 'max_depth': 7, 'max_features': 250, 'n_estimators': 200}",0.8046875,0.7734375,0.7578125,0.78125,0.78125,0.7796875,0.01514899955442603,43
0.46011695861816404,0.031234623266094896,0.006423234939575195,0.003308610919724973,entropy,7,500,50,"{'criterion': 'entropy', 'max_depth': 7, 'max_features': 500, 'n_estimators': 50}",0.78125,0.6953125,0.7734375,0.7265625,0.765625,0.7484375,0.03255104164999947,124
0.8798572540283203,0.02693100549604998,0.0071770668029785155,0.0023923165031353023,entropy,7,500,100,"{'criterion': 'entropy', 'max_depth': 7, 'max_features': 500, 'n_estimators': 100}",0.8125,0.7578125,0.765625,0.75,0.7734375,0.771875,0.02176310668310019,60
1.7277985095977784,0.02148106640085906,0.01056666374206543,0.003866069314210829,entropy,7,500,200,"{'criterion': 'entropy', 'max_depth': 7, 'max_features': 500, 'n_estimators': 200}",0.8046875,0.7578125,0.7421875,0.8046875,0.7734375,0.7765625,0.024999999999999998,50
0.7329411983489991,0.03308283797762074,0.004784345626831055,0.0003981642522868773,entropy,7,1000,50,"{'criterion': 'entropy', 'max_depth': 7, 'max_features': 1000, 'n_estimators': 50}",0.78125,0.71875,0.7265625,0.6875,0.703125,0.7234375,0.03186887195995491,226
1.4948365688323975,0.07706758434215913,0.009191036224365234,0.002814094308776489,entropy,7,1000,100,"{'criterion': 'entropy', 'max_depth': 7, 'max_features': 1000, 'n_estimators': 100}",0.7734375,0.734375,0.71875,0.7578125,0.7734375,0.7515625,0.02176310668310019,111
3.033105421066284,0.12388993631871308,0.009956169128417968,0.002095814596483514,entropy,7,1000,200,"{'criterion': 'entropy', 'max_depth': 7, 'max_features': 1000, 'n_estimators': 200}",0.78125,0.734375,0.765625,0.75,0.765625,0.759375,0.015934435979977454,90
1.2431876182556152,0.06243510077687025,0.006781244277954101,0.0024744288725051934,entropy,7,2000,50,"{'criterion': 'entropy', 'max_depth': 7, 'max_features': 2000, 'n_estimators': 50}",0.78125,0.734375,0.71875,0.765625,0.765625,0.753125,0.022963966338592292,107
2.5856926918029783,0.10397493498107796,0.01056060791015625,0.004695369041897208,entropy,7,2000,100,"{'criterion': 'entropy', 'max_depth': 7, 'max_features': 2000, 'n_estimators': 100}",0.7890625,0.6875,0.7578125,0.75,0.7265625,0.7421875,0.033874192794810624,154
5.292856073379516,0.11394778043025558,0.01196146011352539,0.004593463474265866,entropy,7,2000,200,"{'criterion': 'entropy', 'max_depth': 7, 'max_features': 2000, 'n_estimators': 200}",0.8046875,0.7265625,0.75,0.7421875,0.7265625,0.75,0.028811076429040273,115
1.8180031299591064,0.07985937812859979,0.004995393753051758,0.0006270795055999732,entropy,7,3000,50,"{'criterion': 'entropy', 'max_depth': 7, 'max_features': 3000, 'n_estimators': 50}",0.765625,0.7265625,0.6796875,0.7578125,0.6796875,0.721875,0.03684320663297374,229
3.6938576221466066,0.06288608968870416,0.006180095672607422,0.0011638411512921673,entropy,7,3000,100,"{'criterion': 'entropy', 'max_depth': 7, 'max_features': 3000, 'n_estimators': 100}",0.7890625,0.71875,0.7109375,0.78125,0.703125,0.740625,0.03677688217481194,163
7.141319847106933,0.14503145001628512,0.011363506317138672,0.0024086254860197086,entropy,7,3000,200,"{'criterion': 'entropy', 'max_depth': 7, 'max_features': 3000, 'n_estimators': 200}",0.796875,0.7265625,0.7421875,0.7421875,0.71875,0.7453125,0.027332587007087343,138
2.2733642578125,0.06355367120077283,0.0065787315368652345,0.0027152996747867356,entropy,7,4000,50,"{'criterion': 'entropy', 'max_depth': 7, 'max_features': 4000, 'n_estimators': 50}",0.75,0.734375,0.6875,0.765625,0.6875,0.725,0.032173844190584375,220
4.589245462417603,0.06610565134435166,0.009440994262695313,0.0025222567602769933,entropy,7,4000,100,"{'criterion': 'entropy', 'max_depth': 7, 'max_features': 4000, 'n_estimators': 100}",0.78125,0.6953125,0.71875,0.7265625,0.7265625,0.7296875,0.028211672008230923,201
8.995861673355103,0.22087771747696147,0.013385295867919922,0.004404632941328307,entropy,7,4000,200,"{'criterion': 'entropy', 'max_depth': 7, 'max_features': 4000, 'n_estimators': 200}",0.7734375,0.703125,0.7109375,0.734375,0.7265625,0.7296875,0.024506854908372067,201
2.8957643508911133,0.1259994980526755,0.006977605819702149,0.0028886586550907556,entropy,7,5000,50,"{'criterion': 'entropy', 'max_depth': 7, 'max_features': 5000, 'n_estimators': 50}",0.7734375,0.7109375,0.7421875,0.6953125,0.7109375,0.7265625,0.02795084971874737,211
5.546726274490356,0.08384458931740725,0.008799409866333008,0.002789036405410281,entropy,7,5000,100,"{'criterion': 'entropy', 'max_depth': 7, 'max_features': 5000, 'n_estimators': 100}",0.7734375,0.703125,0.7265625,0.7734375,0.7109375,0.7375,0.030297999108852055,172
11.019655323028564,0.1384573033855869,0.011177825927734374,0.0025626706351209202,entropy,7,5000,200,"{'criterion': 'entropy', 'max_depth': 7, 'max_features': 5000, 'n_estimators': 200}",0.8203125,0.7265625,0.7109375,0.765625,0.703125,0.7453125,0.0432448515721814,138
4.60572075843811,0.08876690282585709,0.005183792114257813,0.0015951879595686343,entropy,7,8829,50,"{'criterion': 'entropy', 'max_depth': 7, 'max_features': 8829, 'n_estimators': 50}",0.78125,0.734375,0.71875,0.7109375,0.7109375,0.73125,0.02642427269576213,193
9.15162172317505,0.2771452456771685,0.005943393707275391,0.0011032419823457235,entropy,7,8829,100,"{'criterion': 'entropy', 'max_depth': 7, 'max_features': 8829, 'n_estimators': 100}",0.796875,0.7421875,0.6953125,0.7421875,0.6796875,0.73125,0.041221581119602876,193
18.684749412536622,0.5896200251449166,0.014554214477539063,0.0031222744702629713,entropy,7,8829,200,"{'criterion': 'entropy', 'max_depth': 7, 'max_features': 8829, 'n_estimators': 200}",0.7890625,0.703125,0.734375,0.75,0.7421875,0.74375,0.02768757054167086,142
0.09437627792358398,0.013609273524144885,0.0069980621337890625,0.002853340463826502,entropy,10,10,50,"{'criterion': 'entropy', 'max_depth': 10, 'max_features': 10, 'n_estimators': 50}",0.7578125,0.671875,0.6796875,0.7265625,0.7109375,0.709375,0.03140586131600279,264
0.17167434692382813,0.02390126368023714,0.008980703353881837,0.004156385137529796,entropy,10,10,100,"{'criterion': 'entropy', 'max_depth': 10, 'max_features': 10, 'n_estimators': 100}",0.7890625,0.703125,0.75,0.7265625,0.78125,0.75,0.03240068961457456,115
0.27591352462768554,0.032719506728225406,0.009390735626220703,0.0008435736475539251,entropy,10,10,200,"{'criterion': 'entropy', 'max_depth': 10, 'max_features': 10, 'n_estimators': 200}",0.7890625,0.84375,0.7734375,0.796875,0.859375,0.8125,0.03314563036811941,1
0.08796272277832032,0.010158216882819386,0.006379508972167968,0.002236760861086777,entropy,10,15,50,"{'criterion': 'entropy', 'max_depth': 10, 'max_features': 15, 'n_estimators': 50}",0.6875,0.75,0.734375,0.796875,0.671875,0.728125,0.04485218779502289,205
0.15635104179382325,0.02705933530565607,0.007584810256958008,0.0027406796556665915,entropy,10,15,100,"{'criterion': 'entropy', 'max_depth': 10, 'max_features': 15, 'n_estimators': 100}",0.78125,0.765625,0.703125,0.7265625,0.7578125,0.746875,0.02821167200823092,132
0.3037104606628418,0.03378933184414427,0.014360666275024414,0.002567338991748797,entropy,10,15,200,"{'criterion': 'entropy', 'max_depth': 10, 'max_features': 15, 'n_estimators': 200}",0.8046875,0.8359375,0.7421875,0.765625,0.8046875,0.790625,0.03292391797766481,20
0.10290164947509765,0.01140051775058149,0.005600738525390625,0.0017315862514560648,entropy,10,25,50,"{'criterion': 'entropy', 'max_depth': 10, 'max_features': 25, 'n_estimators': 50}",0.7578125,0.6953125,0.78125,0.7421875,0.7578125,0.746875,0.028641098093474003,132
0.17457451820373535,0.00391534618866806,0.00817108154296875,0.0026273044864629654,entropy,10,25,100,"{'criterion': 'entropy', 'max_depth': 10, 'max_features': 25, 'n_estimators': 100}",0.796875,0.796875,0.7578125,0.75,0.7890625,0.778125,0.02013140426050801,45
0.33943815231323243,0.02206320422102531,0.009369325637817384,0.000798010888438302,entropy,10,25,200,"{'criterion': 'entropy', 'max_depth': 10, 'max_features': 25, 'n_estimators': 200}",0.796875,0.7734375,0.796875,0.7578125,0.8515625,0.7953125,0.031792171795899694,12
0.13162698745727539,0.014374594826472015,0.00677947998046875,0.0026307809094991896,entropy,10,50,50,"{'criterion': 'entropy', 'max_depth': 10, 'max_features': 50, 'n_estimators': 50}",0.7890625,0.75,0.796875,0.7265625,0.7421875,0.7609375,0.027332587007087343,84
0.27645316123962405,0.01982267663947738,0.007575607299804688,0.0013514828824760655,entropy,10,50,100,"{'criterion': 'entropy', 'max_depth': 10, 'max_features': 50, 'n_estimators': 100}",0.7734375,0.7890625,0.8203125,0.796875,0.7734375,0.790625,0.01739926363384382,20
0.46749377250671387,0.029183175905388735,0.011959362030029296,0.0033355546462098843,entropy,10,50,200,"{'criterion': 'entropy', 'max_depth': 10, 'max_features': 50, 'n_estimators': 200}",0.7890625,0.78125,0.7890625,0.765625,0.8046875,0.7859375,0.012693810007243688,29
0.19248394966125487,0.02202216923635995,0.006977701187133789,0.003150453009602948,entropy,10,100,50,"{'criterion': 'entropy', 'max_depth': 10, 'max_features': 100, 'n_estimators': 50}",0.7890625,0.765625,0.75,0.7265625,0.78125,0.7625,0.02242609389751144,78
0.3484981536865234,0.0193588792545272,0.008372116088867187,0.0029980329419268636,entropy,10,100,100,"{'criterion': 'entropy', 'max_depth': 10, 'max_features': 100, 'n_estimators': 100}",0.84375,0.7265625,0.78125,0.7734375,0.828125,0.790625,0.041751216299648085,20
0.7589855670928956,0.0460193126337835,0.012046575546264648,0.0017459355529689654,entropy,10,100,200,"{'criterion': 'entropy', 'max_depth': 10, 'max_features': 100, 'n_estimators': 200}",0.8125,0.8046875,0.7734375,0.75,0.828125,0.79375,0.028211672008230916,16
0.3479717254638672,0.03527903598036335,0.005800294876098633,0.0016332627178059806,entropy,10,250,50,"{'criterion': 'entropy', 'max_depth': 10, 'max_features': 250, 'n_estimators': 50}",0.8125,0.78125,0.7421875,0.765625,0.765625,0.7734375,0.023175620272173948,56
0.712387228012085,0.09960516615030171,0.012492179870605469,0.004996414596466614,entropy,10,250,100,"{'criterion': 'entropy', 'max_depth': 10, 'max_features': 250, 'n_estimators': 100}",0.796875,0.7734375,0.7578125,0.796875,0.765625,0.778125,0.016086922095292187,45
1.3763113498687745,0.075295665001975,0.012357234954833984,0.004209473781560618,entropy,10,250,200,"{'criterion': 'entropy', 'max_depth': 10, 'max_features': 250, 'n_estimators': 200}",0.8203125,0.7890625,0.796875,0.796875,0.7734375,0.7953125,0.015148999554426027,12
0.5435733318328857,0.030550201660100005,0.009579133987426759,0.002644702549157229,entropy,10,500,50,"{'criterion': 'entropy', 'max_depth': 10, 'max_features': 500, 'n_estimators': 50}",0.8203125,0.7734375,0.75,0.7890625,0.7421875,0.775,0.028125,51
1.0676211357116698,0.06292389129217373,0.00597996711730957,0.0006298463379640932,entropy,10,500,100,"{'criterion': 'entropy', 'max_depth': 10, 'max_features': 500, 'n_estimators': 100}",0.796875,0.7265625,0.734375,0.7734375,0.7890625,0.7640625,0.028555729503901665,74
2.1222880363464354,0.09637899879150347,0.010166501998901368,0.0029840033688935384,entropy,10,500,200,"{'criterion': 'entropy', 'max_depth': 10, 'max_features': 500, 'n_estimators': 200}",0.859375,0.7578125,0.7421875,0.7734375,0.7890625,0.784375,0.040625,36
0.9112349510192871,0.061397503115496965,0.006578397750854492,0.001354077849101992,entropy,10,1000,50,"{'criterion': 'entropy', 'max_depth': 10, 'max_features': 1000, 'n_estimators': 50}",0.765625,0.7265625,0.7578125,0.765625,0.734375,0.75,0.01638763825265862,115
1.852550458908081,0.05981648865596295,0.0071754932403564455,0.002392268596075973,entropy,10,1000,100,"{'criterion': 'entropy', 'max_depth': 10, 'max_features': 1000, 'n_estimators': 100}",0.8046875,0.75,0.75,0.78125,0.75,0.7671875,0.022316963839196406,68
3.5583829402923586,0.10495641179244929,0.009967899322509766,0.001091709802353673,entropy,10,1000,200,"{'criterion': 'entropy', 'max_depth': 10, 'max_features': 1000, 'n_estimators': 200}",0.8046875,0.75,0.7578125,0.7734375,0.78125,0.7734375,0.019136638615493577,56
1.5904292106628417,0.06290019811113601,0.0065839290618896484,0.002414120072419721,entropy,10,2000,50,"{'criterion': 'entropy', 'max_depth': 10, 'max_features': 2000, 'n_estimators': 50}",0.765625,0.7421875,0.6875,0.734375,0.7421875,0.734375,0.025674494883054663,183
3.1279823780059814,0.052688192677097394,0.012958097457885741,0.004633269772548233,entropy,10,2000,100,"{'criterion': 'entropy', 'max_depth': 10, 'max_features': 2000, 'n_estimators': 100}",0.8046875,0.734375,0.734375,0.75,0.71875,0.7484375,0.029810600044279552,124
6.15434308052063,0.13821743198588296,0.012777090072631836,0.0044804852313603755,entropy,10,2000,200,"{'criterion': 'entropy', 'max_depth': 10, 'max_features': 2000, 'n_estimators': 200}",0.7890625,0.7421875,0.7578125,0.796875,0.7421875,0.765625,0.023175620272173948,71
2.194619607925415,0.06752127457236598,0.0065972328186035155,0.0018439750219336087,entropy,10,3000,50,"{'criterion': 'entropy', 'max_depth': 10, 'max_features': 3000, 'n_estimators': 50}",0.7734375,0.7421875,0.7109375,0.7890625,0.703125,0.74375,0.03365728004459065,142
4.544550895690918,0.18380245160994726,0.007975101470947266,0.0025202524324033533,entropy,10,3000,100,"{'criterion': 'entropy', 'max_depth': 10, 'max_features': 3000, 'n_estimators': 100}",0.765625,0.7421875,0.75,0.796875,0.7265625,0.75625,0.02390165396996618,99
8.697257900238037,0.1797023735260416,0.010810756683349609,0.001505412189492045,entropy,10,3000,200,"{'criterion': 'entropy', 'max_depth': 10, 'max_features': 3000, 'n_estimators': 200}",0.7734375,0.75,0.7421875,0.8046875,0.7265625,0.759375,0.027243118397129208,90
2.8957736492156982,0.09553811764749937,0.005182886123657226,0.0003988028534744118,entropy,10,4000,50,"{'criterion': 'entropy', 'max_depth': 10, 'max_features': 4000, 'n_estimators': 50}",0.7734375,0.7265625,0.71875,0.734375,0.7265625,0.7359375,0.019390115071860715,180
5.5614790439605715,0.12876032000928536,0.0075778007507324215,0.002050754525302847,entropy,10,4000,100,"{'criterion': 'entropy', 'max_depth': 10, 'max_features': 4000, 'n_estimators': 100}",0.78125,0.7265625,0.7734375,0.765625,0.703125,0.75,0.030055287596361478,115
11.054871845245362,0.10448974162184524,0.014171504974365234,0.004289932894162668,entropy,10,4000,200,"{'criterion': 'entropy', 'max_depth': 10, 'max_features': 4000, 'n_estimators': 200}",0.8125,0.75,0.7578125,0.7890625,0.7109375,0.7640625,0.034728298079520104,74
3.4089858531951904,0.13491668247673946,0.005976819992065429,0.0030163607153253164,entropy,10,5000,50,"{'criterion': 'entropy', 'max_depth': 10, 'max_features': 5000, 'n_estimators': 50}",0.78125,0.7265625,0.7421875,0.7890625,0.734375,0.7546875,0.02548360379734389,103
6.623800611495971,0.14990276302875868,0.006764698028564453,0.0009797861492119064,entropy,10,5000,100,"{'criterion': 'entropy', 'max_depth': 10, 'max_features': 5000, 'n_estimators': 100}",0.796875,0.734375,0.7421875,0.7734375,0.7265625,0.7546875,0.02642427269576213,103
13.490549230575562,0.26048622712111685,0.011780786514282226,0.004298464661433225,entropy,10,5000,200,"{'criterion': 'entropy', 'max_depth': 10, 'max_features': 5000, 'n_estimators': 200}",0.7890625,0.7265625,0.7265625,0.78125,0.71875,0.7484375,0.030217311884083935,124
5.519169664382934,0.19259853926582207,0.007383489608764648,0.002993445738834497,entropy,10,8829,50,"{'criterion': 'entropy', 'max_depth': 10, 'max_features': 8829, 'n_estimators': 50}",0.7578125,0.7421875,0.7421875,0.7734375,0.6953125,0.7421875,0.02614562582918986,154
10.872559404373169,0.3596121128583531,0.00837101936340332,0.0027191180338623326,entropy,10,8829,100,"{'criterion': 'entropy', 'max_depth': 10, 'max_features': 8829, 'n_estimators': 100}",0.7578125,0.7109375,0.7109375,0.796875,0.7109375,0.7375,0.03479852726768763,172
22.191531038284303,0.6863940865858825,0.016163206100463866,0.0037731542351393797,entropy,10,8829,200,"{'criterion': 'entropy', 'max_depth': 10, 'max_features': 8829, 'n_estimators': 200}",0.7890625,0.7421875,0.7265625,0.7734375,0.7265625,0.7515625,0.025387620014487376,111
